iter	Passed	Remaining
749	14771	4923
750	14789	4903
751	14807	4883
752	14824	4862
753	14841	4842
754	14859	4822
755	14879	4802
756	14896	4781
757	14913	4761
758	14930	4740
759	14949	4720
760	14968	4700
761	14986	4680
762	15003	4660
763	15020	4639
764	15039	4619
765	15056	4599
766	15075	4579
767	15095	4559
768	15112	4539
769	15129	4519
770	15146	4498
771	15164	4478
772	15181	4458
773	15199	4437
774	15216	4417
775	15233	4397
776	15252	4377
777	15269	4357
778	15287	4337
779	15305	4317
780	15326	4297
781	15343	4277
782	15361	4257
783	15379	4237
784	15397	4217
785	15414	4196
786	15430	4176
787	15447	4156
788	15464	4135
789	15483	4115
790	15502	4096
791	15520	4076
792	15537	4055
793	15554	4035
794	15572	4015
795	15589	3995
796	15608	3975
797	15626	3955
798	15645	3935
799	15663	3915
800	15682	3896
801	15700	3876
802	15717	3855
803	15736	3836
804	15753	3816
805	15770	3795
806	15788	3775
807	15805	3755
808	15823	3735
809	15841	3715
810	15860	3696
811	15879	3676
812	15896	3656
813	15914	3636
814	15934	3616
815	15954	3597
816	15974	3578
817	15991	3557
818	16009	3538
819	16027	3518
820	16045	3498
821	16062	3478
822	16081	3458
823	16101	3439
824	16121	3419
825	16139	3399
826	16158	3380
827	16176	3360
828	16194	3340
829	16211	3320
830	16230	3300
831	16247	3280
832	16265	3260
833	16283	3241
834	16300	3221
835	16318	3201
836	16337	3181
837	16355	3161
838	16373	3141
839	16390	3122
840	16407	3102
841	16425	3082
842	16443	3062
843	16462	3042
844	16481	3023
845	16501	3003
846	16519	2983
847	16540	2964
848	16559	2945
849	16576	2925
850	16594	2905
851	16611	2885
852	16629	2865
853	16645	2845
854	16663	2825
855	16680	2806
856	16697	2786
857	16714	2766
858	16732	2746
859	16751	2726
860	16769	2707
861	16788	2687
862	16807	2668
863	16826	2648
864	16844	2628
865	16861	2609
866	16878	2589
867	16896	2569
868	16913	2549
869	16930	2529
870	16948	2510
871	16966	2490
872	16985	2470
873	17003	2451
874	17020	2431
875	17038	2411
876	17056	2392
877	17075	2372
878	17093	2352
879	17110	2333
880	17129	2313
881	17147	2294
882	17164	2274
883	17184	2254
884	17203	2235
885	17221	2215
886	17240	2196
887	17259	2176
888	17276	2157
889	17294	2137
890	17311	2117
891	17331	2098
892	17349	2078
893	17368	2059
894	17387	2039
895	17406	2020
896	17424	2000
897	17442	1981
898	17460	1961
899	17479	1942
900	17497	1922
901	17514	1902
902	17533	1883
903	17550	1863
904	17570	1844
905	17589	1824
906	17606	1805
907	17624	1785
908	17640	1766
909	17659	1746
910	17678	1727
911	17696	1707
912	17713	1687
913	17731	1668
914	17747	1648
915	17765	1629
916	17785	1609
917	17804	1590
918	17821	1570
919	17839	1551
920	17856	1531
921	17876	1512
922	17893	1492
923	17911	1473
924	17929	1453
925	17947	1434
926	17965	1414
927	17983	1395
928	18001	1375
929	18020	1356
930	18038	1336
931	18056	1317
932	18074	1297
933	18092	1278
934	18110	1259
935	18128	1239
936	18145	1220
937	18162	1200
938	18180	1181
939	18197	1161
940	18216	1142
941	18233	1122
942	18250	1103
943	18269	1083
944	18286	1064
945	18303	1044
946	18321	1025
947	18340	1005
948	18358	986
949	18376	967
950	18394	947
951	18412	928
952	18429	908
953	18448	889
954	18466	870
955	18483	850
956	18501	831
957	18520	811
958	18537	792
959	18554	773
960	18572	753
961	18592	734
962	18610	715
963	18632	695
964	18650	676
965	18670	657
966	18689	637
967	18707	618
968	18726	599
969	18745	579
970	18763	560
971	18781	541
972	18799	521
973	18816	502
974	18848	483
975	18865	463
976	18883	444
977	18901	425
978	18919	405
979	18936	386
980	18955	367
981	18975	347
982	18992	328
983	19010	309
984	19027	289
985	19045	270
986	19063	251
987	19080	231
988	19098	212
989	19116	193
990	19135	173
991	19153	154
992	19171	135
993	19189	115
994	19206	96
995	19225	77
996	19242	57
997	19261	38
998	19280	19
999	19297	0
